date,open,high,low,close,orb_high,orb_low,atr
2023-12-08,43.6500,45.0000,43.5800,44.8400,43.9800,43.5800,
2023-12-11,44.6600,46.0800,44.6000,45.9900,45.1900,44.6000,
2023-12-12,45.9800,47.1000,45.5700,47.0900,46.0200,45.6600,
2023-12-13,47.3800,49.0700,47.1000,48.8500,47.8000,47.3700,
2023-12-14,49.2500,49.7300,47.5500,48.6500,49.5700,49.1600,
2023-12-15,48.9400,49.7900,48.7000,49.2200,49.3000,48.8900,
2023-12-18,49.4800,50.6000,49.3600,50.2900,49.7700,49.3600,
2023-12-19,50.4200,51.0600,50.3500,51.0200,50.7400,50.3500,
2023-12-20,50.4800,51.2700,48.4600,48.4800,50.6700,50.3400,
2023-12-21,49.8900,50.2700,48.9400,50.1500,50.2000,49.7100,
2023-12-22,50.6000,50.9400,49.6400,50.3900,50.7800,50.4900,
2023-12-26,50.6400,51.5100,50.6200,51.2600,50.9200,50.6200,
2023-12-27,51.3500,51.6600,51.0200,51.5500,51.6100,51.3500,
2023-12-28,51.9200,52.0100,51.2700,51.3800,52.0100,51.6600,1.4486
2023-12-29,51.3800,51.5300,50.0000,50.7000,51.4900,51.2500,1.4564
2024-01-02,49.3500,49.4300,47.2600,48.1300,49.4300,48.7400,1.5964
2024-01-03,47.1700,47.5400,46.4300,46.5900,47.3600,46.9200,1.6086
2024-01-04,45.8700,46.9700,45.7300,45.8100,46.2700,45.7800,1.5557
2024-01-05,45.8600,46.9200,45.4700,45.9700,46.2500,45.7600,1.5036
2024-01-08,46.3900,48.9000,46.3300,48.8100,46.8500,46.3300,1.6314
2024-01-09,47.6600,49.4100,47.6100,49.0800,48.0800,47.6600,1.6614
2024-01-10,49.1700,50.4100,48.8400,50.0500,49.4700,49.1600,1.7186
2024-01-11,50.4500,50.9700,48.4000,50.2800,50.9700,50.3700,1.7014
2024-01-12,50.6800,50.9800,49.8400,50.3500,50.7700,50.3700,1.6550
2024-01-16,49.8800,50.9100,49.3300,50.3200,50.1400,49.7200,1.6750
2024-01-17,49.0700,49.5900,47.8700,49.4400,49.2300,48.4500,1.7700
2024-01-18,50.5900,51.7200,50.1100,51.5700,51.0400,50.5900,1.8871
2024-01-19,52.3200,54.6200,52.1000,54.5700,52.4100,52.1000,2.0521
2024-01-22,55.4100,55.9200,54.5100,54.7500,55.9200,55.4000,2.0436
2024-01-23,55.0100,55.4800,54.2800,55.3800,55.0100,54.2800,1.8836
2024-01-24,56.9500,57.9000,56.1100,56.3100,56.9800,56.4300,1.9421
2024-01-25,57.2600,57.5300,55.5200,56.4400,57.2900,56.8000,1.9971
2024-01-26,55.6800,56.3900,55.1800,55.4100,55.8200,55.4100,1.9836
2024-01-29,55.6100,57.2000,55.3400,57.1200,55.9000,55.4400,1.9071
2024-01-30,56.6900,56.9200,55.6000,55.9300,56.9200,56.6300,1.8871
2024-01-31,54.1800,54.9900,52.5800,52.6400,54.4600,53.9200,2.0143
2024-02-01,53.2900,54.6400,52.9100,54.5200,53.5800,53.1800,1.9736
2024-02-02,55.1800,57.6800,54.7900,57.2600,55.6300,54.7900,2.1179
2024-02-05,57.1900,57.4200,55.5700,56.9400,57.3400,56.9800,2.1371
2024-02-06,57.3800,57.6400,55.6400,56.6200,57.6400,57.0100,2.1050
2024-02-07,57.6900,58.6600,57.1700,58.3300,57.7300,57.2300,2.0879
2024-02-08,58.3100,58.8900,58.0200,58.5800,58.4700,58.1400,1.9321
2024-02-09,59.0300,60.6100,58.7100,60.3000,59.0500,58.7100,1.9764
2024-02-12,60.2100,61.1400,59.2700,59.5500,60.4400,59.9900,2.0243
2024-02-13,56.2400,57.8700,55.4300,56.7300,56.6200,55.8300,2.1386
2024-02-14,57.8000,58.7500,56.8600,58.6000,58.0900,57.4400,2.1393
