date,open,high,low,close,volume,average,barCount,tradeDate
2024-01-02 12:35:00-05:00,403.8,403.94,403.72,403.91,226746.0,403.838,1408,2024-01-02
2024-01-02 12:40:00-05:00,403.93,404.17,403.86,403.91,171940.0,404.032,1071,2024-01-02
2024-01-02 12:45:00-05:00,403.89,403.93,403.17,403.31,397458.0,403.431,2004,2024-01-02
2024-01-02 12:50:00-05:00,403.3,403.33,402.92,402.94,371376.0,403.068,2094,2024-01-02
2024-01-02 12:55:00-05:00,402.95,403.0,402.52,402.58,262906.0,402.693,1374,2024-01-02
2024-01-02 13:00:00-05:00,402.59,402.64,402.33,402.49,308384.0,402.467,1756,2024-01-02
2024-01-02 13:05:00-05:00,402.5,402.57,402.18,402.27,221499.0,402.361,1425,2024-01-02
2024-01-02 13:10:00-05:00,402.27,402.67,402.22,402.58,400582.0,402.456,1990,2024-01-02
2024-01-02 13:15:00-05:00,402.58,402.75,402.52,402.71,213249.0,402.643,1154,2024-01-02
2024-01-02 13:20:00-05:00,402.72,402.99,402.67,402.93,166971.0,402.825,1036,2024-01-02
2024-01-02 13:25:00-05:00,402.9,403.12,402.83,402.86,280018.0,402.95,1531,2024-01-02
2024-01-02 13:30:00-05:00,402.86,403.06,402.76,403.02,222984.0,402.879,1273,2024-01-02
2024-01-02 13:35:00-05:00,403.01,403.08,402.86,403.03,280275.0,402.985,1567,2024-01-02
2024-01-02 13:40:00-05:00,403.01,403.05,402.77,402.84,202318.0,402.911,1308,2024-01-02
2024-01-02 13:45:00-05:00,402.83,403.05,402.66,402.69,276230.0,402.837,1623,2024-01-02
2024-01-02 13:50:00-05:00,402.69,402.7,402.26,402.28,332919.0,402.417,2186,2024-01-02
2024-01-02 13:55:00-05:00,402.29,402.34,401.82,402.03,488383.0,402.042,2873,2024-01-02
2024-01-02 14:00:00-05:00,402.03,402.17,401.59,401.63,510255.0,401.909,3036,2024-01-02
2024-01-02 14:05:00-05:00,401.63,401.74,401.33,401.57,705096.0,401.501,3632,2024-01-02
2024-01-02 14:10:00-05:00,401.57,402.06,401.49,401.91,465612.0,401.82,2704,2024-01-02
2024-01-02 14:15:00-05:00,401.9,401.94,401.72,401.84,254948.0,401.822,1447,2024-01-02
2024-01-02 14:20:00-05:00,401.83,401.94,401.75,401.84,161368.0,401.853,992,2024-01-02
2024-01-02 14:25:00-05:00,401.83,402.14,401.81,402.08,243706.0,401.981,1270,2024-01-02
2024-01-02 14:30:00-05:00,402.08,402.27,401.88,402.02,307433.0,402.057,1560,2024-01-02
2024-01-02 14:35:00-05:00,402.03,402.06,401.72,401.75,160551.0,401.88,822,2024-01-02
2024-01-02 14:40:00-05:00,401.75,401.86,401.64,401.79,241373.0,401.734,1384,2024-01-02
2024-01-02 14:45:00-05:00,401.77,401.9,401.6,401.63,135724.0,401.78,857,2024-01-02
2024-01-02 14:50:00-05:00,401.62,401.76,401.22,401.3,442569.0,401.491,2519,2024-01-02
2024-01-02 14:55:00-05:00,401.31,401.33,401.01,401.02,586874.0,401.163,2941,2024-01-02
2024-01-02 15:00:00-05:00,401.03,401.14,400.27,400.37,1712460.0,400.73,8058,2024-01-02
2024-01-02 15:05:00-05:00,400.37,400.72,400.32,400.5,1007805.0,400.511,4526,2024-01-02
2024-01-02 15:10:00-05:00,400.49,400.66,400.24,400.32,662288.0,400.478,3524,2024-01-02
2024-01-02 15:15:00-05:00,400.33,400.79,400.28,400.71,798577.0,400.625,4435,2024-01-02
2024-01-02 15:20:00-05:00,400.71,400.75,400.43,400.69,383739.0,400.595,2200,2024-01-02
2024-01-02 15:25:00-05:00,400.71,400.83,400.53,400.77,299906.0,400.682,1924,2024-01-02
2024-01-02 15:30:00-05:00,400.77,401.1,400.75,400.85,430500.0,400.961,2699,2024-01-02
2024-01-02 15:35:00-05:00,400.85,400.85,400.54,400.62,461841.0,400.737,2600,2024-01-02
2024-01-02 15:40:00-05:00,400.61,400.97,400.59,400.91,387542.0,400.788,2262,2024-01-02
2024-01-02 15:45:00-05:00,400.91,401.27,400.91,401.23,548471.0,401.075,3231,2024-01-02
2024-01-02 15:50:00-05:00,401.23,402.09,401.23,401.93,1346902.0,401.85,7621,2024-01-02
2024-01-02 15:55:00-05:00,401.94,402.69,401.94,402.56,2335355.0,402.495,12256,2024-01-02
2024-01-03 09:30:00-05:00,399.93,400.28,399.26,399.99,2014813.0,399.794,10088,2024-01-03
2024-01-03 09:35:00-05:00,399.98,400.49,399.78,400.04,972400.0,400.094,5610,2024-01-03
2024-01-03 09:40:00-05:00,400.04,400.73,399.94,400.5,965246.0,400.383,4458,2024-01-03
2024-01-03 09:45:00-05:00,400.54,400.76,400.12,400.46,806582.0,400.442,4382,2024-01-03
2024-01-03 09:50:00-05:00,400.46,400.75,400.23,400.37,737408.0,400.468,4596,2024-01-03
