date,open,high,low,close,orb_high,orb_low
2022-01-24,345.88,353.98,334.15,353.58,347.45,344.69
2022-01-25,346.62,351.03,341.68,344.94,348.73,345.8
2022-01-26,352.91,356.88,340.78,345.06,353.47,350.68
2022-01-27,349.39,351.27,340.05,341.02,349.77,346.96
2022-01-28,343.03,352.02,337.95,351.95,343.84,339.1
2022-01-31,353.25,363.65,351.52,363.28,354.85,351.52
2022-02-01,364.43,366.19,359.14,365.5,364.63,362.19
2022-02-02,369.8,370.1,364.28,368.54,370.1,367.95
2022-02-03,358.58,361.93,352.46,353.61,360.84,357.89
2022-02-04,354.08,361.4,351.97,357.99,355.18,351.97
2022-02-07,358.65,361.05,353.84,355.17,359.84,357.74
2022-02-08,354.01,360.24,352.8,359.2,355.56,353.59
2022-02-09,363.73,366.8,362.12,366.77,364.54,362.99
2022-02-10,359.52,366.49,356.54,358.45,361.72,359.32
2022-02-11,358.46,360.07,345.8,347.14,359.7,357.66
2022-02-14,346.46,350.98,343.89,347.65,348.15,345.81
2022-02-15,352.91,356.37,351.82,356.21,354.07,352.25
2022-02-16,353.92,357.09,350.71,356.0,353.95,352.46
2022-02-17,352.69,353.46,345.02,345.45,353.43,352.36
2022-02-18,346.41,346.81,339.14,341.58,346.73,344.37
2022-02-22,338.52,344.04,334.35,338.09,339.79,338.04
2022-02-23,341.32,342.19,329.11,329.41,342.13,340.51
2022-02-24,318.84,341.04,318.26,340.63,324.51,318.26
2022-02-25,341.31,345.98,337.39,345.87,341.81,339.43
2022-02-28,342.47,348.54,341.32,347.15,344.2,342.28
2022-03-01,345.75,348.08,338.9,341.52,347.64,345.18
2022-03-02,343.08,348.59,340.24,347.18,343.58,341.72
2022-03-03,349.94,350.04,340.35,342.28,350.04,348.17
2022-03-04,339.83,341.31,334.92,337.35,341.31,339.83
2022-03-07,337.29,338.48,324.65,324.83,338.48,336.45
2022-03-08,324.05,333.21,319.94,323.28,325.65,322.7
2022-03-09,331.76,336.38,329.09,335.06,332.14,329.81
2022-03-10,330.82,332.51,326.71,331.42,331.15,328.92
2022-03-11,334.32,334.64,323.9,324.31,334.64,332.24
2022-03-14,323.13,326.59,317.45,318.23,324.08,322.02
2022-03-15,320.88,328.95,319.23,328.19,322.17,320.21
